TQ,NDI,C,RDP,DPQ,OU,DFT,DFO
3,113,2,286,3,1,279,36
4,240,5,10,3,1,225,7
4,1500,2,246,3,4,1572,156
3,2922,4,30,3,2,2075,436
2,2418,3,89,3,3,1248,882
2,481,4,11,3,5,246,172
3,576,2,52,3,1,439,56
3,16,4,258,4,5,191,24
3,297,3,2,2,1,208,27
5,1052,4,204,3,4,879,339
3,523,3,104,3,4,439,168
3,183,3,28,4,2,147,31
2,172,3,251,3,1,211,63
3,794,3,87,3,5,618,78
5,2006,3,38,3,5,1434,182
3,1739,4,62,3,1,1263,161
3,384,4,98,3,2,337,72
3,1074,2,32,2,1,772,100
3,78,4,75,4,5,107,13
3,716,2,32,4,2,523,112
3,2142,3,41,3,1,1527,196
4,13,1,40,4,5,47,1
4,156,3,4,4,3,143,11
3,409,3,17,3,3,298,89
2,544,2,101,2,2,321,161
1,264,4,250,3,1,153,108
4,1749,5,93,3,1,1656,56
3,654,4,139,3,4,554,215
3,607,4,76,3,2,477,103
2,861,4,2,2,4,431,388
3,89,3,68,3,4,109,43
3,2449,4,1,3,5,1713,662
3,1348,3,32,3,3,968,288
3,100,5,39,2,1,97,12
3,2857,4,118,2,1,2082,267
1,310,4,7,2,2,95,110
2,2824,1,160,3,4,1494,1340
3,97,4,19,3,1,81,10
2,1019,2,155,2,1,586,176
3,866,2,6,3,5,610,78
2,238,5,159,2,2,197,99
2,38,3,220,3,4,129,116
3,2384,3,600,3,3,2091,624
2,2795,4,30,4,2,1409,708
2,588,4,76,4,2,332,165
3,736,1,262,3,1,696,90
2,525,2,9,2,2,266,134
3,1155,4,79,2,4,863,334
3,753,2,39,3,2,554,118
4,510,5,20,3,4,476,48
4,41,3,109,3,1,135,4
2,148,2,21,3,4,84,76
2,851,3,112,4,2,481,240
2,263,2,97,3,5,179,90
3,191,5,72,4,4,183,71
3,812,5,150,4,1,673,87
2,393,4,174,3,2,282,142
4,479,4,41,2,1,468,15
4,1963,1,18,3,5,1783,59
2,1747,5,65,2,5,905,271
4,329,2,128,3,1,411,13
2,1082,5,63,4,2,569,288
4,459,2,75,3,1,479,16
4,573,3,25,3,1,538,17
2,548,2,48,3,4,297,269
2,2970,3,1,3,4,1486,1341
3,2372,5,86,4,2,1716,371
4,2252,4,99,4,3,2113,166
2,2721,1,75,2,5,1399,977
3,1328,2,161,2,3,1040,315
4,468,2,108,3,1,518,17
3,294,5,59,4,2,247,53
5,14,2,13,3,5,18,4
4,701,4,46,2,3,672,52
4,2338,2,145,5,1,2239,73
2,170,4,95,4,1,132,39
3,536,1,100,3,3,445,133
3,131,4,47,4,2,124,27
4,936,3,195,3,3,1017,79
2,953,4,60,2,4,505,456
4,64,3,107,2,1,153,5
2,31,1,40,4,4,35,32
3,2792,4,0,3,1,1954,249
2,2344,3,20,3,1,1185,354
3,1471,4,64,3,2,1072,231
2,2464,3,113,3,2,1289,642
4,212,4,722,3,2,840,47
3,15,2,1,3,2,11,2
3,18,4,98,2,4,81,31
3,1139,2,470,3,1,1126,144
3,2610,3,30,3,1,1849,237
3,176,3,161,2,1,236,30
4,602,2,199,3,2,720,40
4,2788,2,40,2,3,2545,198
1,54,4,37,3,1,27,19
1,11,3,63,3,5,22,15
4,728,1,11,3,1,664,22
2,437,4,355,4,4,395,358
4,130,3,18,3,3,133,10
4,230,3,34,3,1,237,8
3,212,3,310,3,5,365,47
4,566,3,31,3,3,536,42
3,898,4,21,3,1,643,83
3,1836,3,73,2,5,1337,170
3,99,5,34,4,4,93,35
5,2944,4,38,4,5,2087,805
3,2776,2,241,3,3,2108,636
3,2020,1,244,3,4,1580,615
4,695,4,336,3,5,929,91
4,202,2,96,4,3,267,21
4,2880,4,92,3,1,2671,90
3,64,2,118,2,1,127,16
1,1604,4,41,2,5,493,343
2,716,2,120,4,4,418,375
4,124,2,18,3,3,127,10
2,2796,3,160,4,4,1475,1330
5,1231,3,104,2,1,665,201
1,1515,4,85,3,2,479,560
2,2514,4,11,4,4,1264,1135
3,574,3,78,3,1,455,59
4,2252,4,165,2,4,2176,216
3,1886,3,498,4,5,1666,646
3,1254,2,28,4,4,898,345
2,11,1,346,2,3,178,125
3,141,4,134,3,1,192,24
2,517,2,19,3,3,268,187
4,587,3,437,3,3,923,70
2,133,3,547,4,5,340,237
3,19,2,248,3,1,186,24
2,2752,2,69,4,3,1406,990
2,424,5,69,3,4,247,221
4,1319,3,12,3,2,1198,66
4,364,4,68,3,2,389,21
3,49,3,178,3,3,159,47
2,2492,3,412,3,1,1450,437
4,687,4,217,4,2,813,45
2,860,3,199,4,5,529,265
2,1641,2,47,2,3,844,590
3,2683,5,62,3,2,1922,412
3,5,4,70,3,3,52,16
4,2479,3,119,2,1,2337,78
4,650,4,0,3,5,584,19
2,1733,2,139,3,1,938,279
4,2290,4,72,2,1,2126,70
4,2610,2,392,3,1,2700,90
2,2998,3,77,3,4,1534,1387
2,2946,3,106,3,1,1526,456
3,2988,4,15,3,4,2104,809
3,2411,5,51,2,1,1723,222
2,66,5,25,3,3,45,32
4,203,5,16,3,1,196,6
2,2975,4,73,2,5,1527,458
2,688,1,52,4,4,369,333
2,2882,3,47,3,4,1464,1320
5,1258,3,2,3,4,629,567
4,2809,2,483,3,1,2963,98
1,46,1,191,2,1,70,50
4,1856,3,46,3,1,1711,57
4,522,1,11,3,1,479,16
2,909,4,85,2,5,496,149
2,617,4,305,4,5,460,138
4,1710,3,16,4,2,1553,86
2,316,3,249,3,5,282,141
3,2895,2,337,2,1,2260,290
2,390,2,316,3,5,352,106
3,2390,4,30,4,2,1696,361
4,1094,3,134,3,4,1104,111
5,166,3,72,4,2,214,12
1,511,4,70,3,2,173,203
2,1025,4,67,4,2,547,272
2,1207,2,397,3,4,800,723
2,366,4,22,3,2,194,96
3,2272,4,6,3,5,1595,341
3,198,3,187,3,3,269,81
1,721,5,105,3,4,248,519
2,2986,3,296,3,2,1640,821
2,38,1,72,2,4,54,50
1,437,3,117,2,2,165,194
5,2488,5,436,3,2,878,1019
3,688,1,275,2,5,675,144
2,947,5,183,3,5,566,282
3,1645,3,6,3,3,1151,349
4,2900,3,181,3,1,2773,92
3,804,3,34,4,2,586,126
2,427,4,77,3,5,252,126
2,2988,3,120,3,1,1557,463
3,2994,2,264,3,2,2283,488
2,2781,4,110,3,3,1446,1012
4,2346,2,2,3,2,2112,118
1,278,2,80,3,5,107,125
3,580,3,39,3,1,433,55
4,1537,1,119,4,4,1489,150
3,2925,4,76,4,4,2105,804
3,65,5,33,3,5,68,27
4,739,1,57,3,5,717,71
2,287,4,28,3,2,157,78
2,668,5,12,2,2,340,170
2,1096,4,87,4,3,591,414
3,641,1,50,3,5,483,145
2,385,4,70,3,3,227,159
5,40,3,23,3,5,31,22
4,2946,4,142,3,4,2774,283
2,658,2,5,3,4,331,298
3,1863,5,38,3,5,1331,513
3,2733,2,62,3,1,1961,249
3,194,2,24,4,4,152,59
4,442,3,141,3,2,524,29
4,178,5,11,3,1,169,5
4,1508,4,0,3,3,1358,104
3,203,3,52,3,4,178,69
3,353,4,327,3,4,476,183
2,2950,4,176,2,3,1560,1097
5,454,4,94,4,5,274,191
2,2861,2,20,3,1,1440,435
2,2316,4,47,3,1,1181,352
4,284,1,35,3,5,287,9
4,63,4,2,3,5,58,2
4,183,1,53,3,2,212,11
3,1549,2,2,3,4,1087,417
3,2380,2,63,3,1,1711,220
1,1176,2,210,2,3,415,680
1,48,4,16,3,4,19,40
4,2801,3,174,3,1,2682,87
4,2071,4,83,2,4,1939,193
4,111,1,158,2,1,241,8
3,1011,2,306,2,2,920,198
2,2804,4,180,2,4,1488,1345
4,352,1,30,3,1,343,11
2,1367,1,46,3,1,706,212
4,1162,2,1,3,1,1045,35
4,381,4,53,4,4,390,39
3,1247,2,99,3,2,942,202
3,1684,4,94,2,3,1244,373
4,2981,5,7,1,3,2690,208
4,2068,3,143,3,4,1988,200
2,2939,4,102,3,1,1521,458
4,2847,2,42,2,4,2604,256
2,108,2,27,3,5,67,61
4,97,2,1,2,2,88,5
2,492,1,215,3,1,353,106
3,1039,2,17,3,2,740,157
4,264,2,303,2,3,510,39
4,2,2,15,3,5,15,1
2,1589,1,79,3,5,834,583
4,133,2,47,4,4,162,16
2,1090,4,30,3,4,558,506
1,580,4,1,2,1,175,121
1,2964,3,137,3,3,931,1521
2,2780,4,45,3,4,1414,1269
3,1000,3,213,3,4,848,329
2,200,5,104,3,4,151,137
3,527,2,40,2,5,396,153
3,594,4,83,3,1,474,61
5,1703,2,95,2,3,1257,379
2,575,1,94,3,4,334,301
3,2044,5,39,4,2,1457,313
4,1537,5,57,3,3,1436,110
2,2854,4,224,4,2,1538,769
4,738,4,347,2,3,975,77
5,1979,5,9,3,5,1790,138
3,281,5,80,3,4,252,98
1,2117,1,68,2,1,654,458
1,114,5,47,3,3,48,79
3,129,4,360,2,5,342,102
2,454,4,24,4,2,238,119
2,2841,1,15,2,3,1426,1000
2,744,2,5,3,2,374,187
4,90,3,160,3,5,224,12
4,2211,3,10,3,5,1997,112
3,455,2,13,2,4,327,126
3,271,4,309,3,2,405,87
3,2752,4,33,4,2,1952,415
5,326,3,212,4,5,376,80
4,2077,2,46,3,4,1914,188
4,785,1,50,3,4,750,76
3,74,4,146,3,1,154,19
4,358,3,53,3,1,369,12
2,1481,3,48,3,3,764,535
3,360,2,70,3,5,301,90
4,812,2,31,3,5,758,59
2,664,2,87,3,1,374,113
2,682,3,248,3,2,464,233
4,2974,4,52,3,2,2726,149
2,875,4,87,3,1,480,144
3,1114,4,46,4,1,811,104
3,2810,4,75,3,2,2018,433
2,1697,3,8,4,3,851,598
4,246,3,48,3,3,264,20
2,551,1,77,3,5,313,220
3,2832,5,307,3,4,2196,847
2,918,2,139,2,5,529,475
4,125,5,51,4,3,158,12
2,496,2,12,3,4,253,229
4,2799,3,137,3,2,2642,147
5,544,4,34,4,4,520,52
1,59,2,168,3,3,68,111
3,193,3,417,3,1,427,55
4,823,2,240,4,5,958,31
3,612,4,398,3,5,708,90
4,241,4,60,4,1,271,9
3,2846,2,535,4,2,2366,507
3,1501,3,27,4,4,1069,413
3,526,4,257,3,4,548,211
2,88,4,87,3,5,87,79
2,436,2,474,3,4,456,407
2,1134,3,167,4,4,650,586
5,1655,3,13,3,5,834,750
4,1002,4,22,4,5,920,93
2,230,1,74,3,3,152,106
4,2791,2,27,3,1,2537,84
2,1977,1,170,5,1,1075,321
3,13,2,0,4,1,9,1
4,2163,3,63,3,5,2001,67
2,272,3,18,3,3,144,102
4,2939,4,142,2,2,2773,154
2,1408,4,239,3,1,821,249
3,196,3,242,2,4,306,118
4,347,4,122,3,5,422,42
5,1404,2,223,3,5,1463,147
3,61,1,145,3,1,144,18
2,153,2,31,3,1,91,27
2,938,3,249,3,1,593,178
2,228,4,20,2,4,124,111
2,145,4,18,4,2,81,40
3,60,4,882,4,2,658,142
3,1810,3,151,3,1,1374,176
2,2881,4,213,3,4,1542,1397
3,1635,2,39,3,2,1172,251
5,2766,2,34,3,1,1960,251
2,1074,3,96,3,2,583,292
4,1607,2,140,3,3,1571,122
2,685,3,60,3,3,372,260
3,764,4,29,2,5,554,167
1,53,3,36,4,4,26,56
3,133,5,55,4,2,131,28
2,59,4,99,3,2,78,39
1,788,3,14,3,1,240,169
3,615,4,41,2,2,459,98
3,2955,4,31,3,2,2093,445
3,1910,4,5,2,2,1340,287
4,1268,4,115,3,1,1245,41
3,1081,1,81,3,3,813,244
3,1922,2,16,4,1,1357,174
4,2923,3,37,1,1,2661,89
2,503,5,64,3,2,282,142
4,102,5,11,3,4,101,10
3,2139,3,107,3,1,1570,205
4,1360,3,201,3,2,1404,78
3,570,2,14,2,1,407,53
3,1373,3,5,2,5,963,124
3,410,2,41,3,4,315,122
2,95,4,28,2,4,61,55
1,1668,4,3,2,3,502,816
3,2792,3,36,3,3,1980,592
4,2769,2,84,4,4,2566,258
3,2484,3,3,2,4,1741,670
3,138,2,99,2,1,166,21
4,84,3,2,2,5,77,2
3,32,5,55,3,4,60,24
3,2768,3,244,5,5,2107,813
4,214,4,65,4,3,250,20
4,84,2,77,4,1,145,4
3,592,5,261,3,2,597,128
1,2951,4,7,2,3,890,1447
4,190,4,149,3,2,304,17
3,13,4,52,3,4,45,17
3,170,4,92,4,4,183,71
4,694,1,334,2,3,925,72
3,2466,3,246,3,3,1901,567
3,444,5,226,3,4,469,181
2,2752,5,25,4,4,1385,1251
2,5,3,11,3,4,8,7
3,84,4,5,4,3,62,18
3,282,5,37,3,3,223,67
2,2760,5,77,2,1,1420,424
4,1225,2,231,2,3,1310,101
2,741,4,244,3,1,492,148
4,396,3,60,3,2,409,23
5,120,3,443,3,4,506,51
3,50,1,40,2,3,63,18
4,2377,2,223,2,3,2341,181
3,877,4,45,3,2,645,138
4,2180,1,98,3,4,2050,205
3,535,2,104,4,4,447,173
2,854,3,312,3,5,582,525
2,1090,1,37,3,2,564,282
3,2054,5,193,3,3,1568,476
3,794,3,21,2,3,570,171
2,1430,2,203,3,4,817,732
4,943,2,44,4,1,888,29
3,68,2,68,3,5,94,12
2,84,4,78,2,2,80,40
2,1605,5,23,2,4,814,732
1,2880,4,10,4,1,868,609
3,301,2,5,3,3,214,64
4,217,4,14,3,5,208,16
4,2284,5,14,4,3,2071,159
5,1987,2,156,3,3,1930,149
4,338,4,209,2,1,491,16
2,2824,3,36,3,2,1430,713
5,2774,5,8,3,4,1390,1250
3,636,3,172,3,5,564,219
5,281,3,114,3,5,275,108
3,380,3,3,3,2,268,57
3,768,3,125,3,1,626,80
4,354,3,2,3,2,320,17
3,1069,2,293,3,2,951,205
4,706,5,232,3,1,843,28
4,2161,2,91,3,1,2029,66
3,797,5,77,3,4,612,235
4,1895,3,24,3,1,1727,57
2,1268,2,653,3,5,958,288
3,10,4,96,3,1,74,9
3,2753,2,216,4,3,2082,621
1,120,4,0,2,2,36,42
5,903,3,615,3,5,454,534
4,13,4,107,3,5,108,5
2,35,3,14,3,5,24,12
4,964,3,61,4,4,922,92
5,119,4,46,4,2,148,8
3,1593,4,90,3,1,1177,151
4,891,3,41,2,5,839,27
4,181,5,18,3,3,179,13
3,868,2,212,3,5,756,226
4,47,5,275,3,2,290,16
4,403,3,25,3,3,385,30
3,268,2,113,3,1,266,34
2,504,4,143,3,5,322,98
2,1372,4,6,3,1,687,207
4,574,1,9,2,1,525,17
2,554,4,28,4,5,291,87
1,2,2,267,3,4,80,169
3,1070,4,170,3,1,868,111
4,212,1,15,3,2,204,11
4,922,3,15,3,4,843,84
3,762,4,236,4,1,698,89
3,926,4,4,3,2,650,139
4,17,3,301,2,5,286,15
4,382,1,41,3,5,381,20
3,10,2,96,3,3,74,22
3,2897,3,50,3,2,2063,441
2,1220,5,63,3,4,639,580
4,436,1,32,3,3,421,32
4,4,4,192,4,4,176,17
3,1305,2,9,2,1,920,118
3,96,4,217,3,2,218,47
3,698,3,99,4,1,558,71
2,176,3,102,4,1,139,41
2,1935,1,5,4,2,971,484
2,1091,2,305,3,4,696,631
5,2988,3,144,3,4,1570,1407
4,30,4,74,3,5,93,9
2,1325,3,140,3,3,733,512
5,222,3,57,3,5,139,97
3,2871,4,26,3,1,2023,261
4,2214,4,89,2,4,2074,206
5,1092,2,179,2,3,1142,90
5,1736,1,12,2,2,1572,87
5,2882,5,40,3,1,2629,88
4,339,4,153,2,5,442,15
3,508,3,28,3,2,375,80
4,970,1,118,3,3,979,76
2,85,1,26,4,5,55,39
3,1372,4,78,3,1,1014,131
3,49,3,6,3,5,38,5
4,2464,3,73,4,2,2282,127
2,2197,1,20,4,4,1106,999
3,371,3,122,3,5,345,133
4,216,4,73,4,2,259,15
2,278,4,68,3,2,173,86
4,2803,5,70,2,5,2583,144
3,1827,4,17,2,2,1287,278
3,1977,5,124,3,4,1471,566
3,2904,5,38,3,3,2060,617
2,139,1,134,3,1,136,41
5,30,5,46,3,4,37,35
4,64,2,27,3,1,81,2
2,396,3,84,3,5,239,72
2,388,5,65,3,1,226,68
3,694,2,140,2,2,583,125
2,1761,3,287,3,4,1025,919
5,726,3,231,3,5,479,430
4,2065,2,4,3,3,1859,147
4,1354,4,197,4,5,1395,109
3,267,4,9,2,3,193,58
3,292,2,73,2,3,255,76
5,18,3,192,3,2,146,32
4,2277,2,105,3,5,2143,119
3,301,2,77,3,3,264,79
3,1807,1,21,3,2,1282,272
3,1457,2,111,3,1,1099,140
2,709,4,145,2,2,427,213
3,670,5,172,3,5,589,126
3,668,4,48,3,2,502,106
5,454,5,107,3,5,391,85
4,959,4,0,4,2,864,47
3,2755,4,45,3,3,1959,588
2,440,1,11,3,5,224,158
4,618,4,103,3,4,647,66
4,751,1,453,2,1,1083,36
3,44,3,204,2,5,173,22
3,1393,3,178,3,5,1101,141
5,1120,2,34,2,4,807,312
2,908,2,235,3,3,570,401
2,688,1,30,3,5,358,252
2,527,4,42,3,4,283,257
4,337,2,13,3,3,315,24
3,2958,1,57,3,4,2113,812
3,144,4,71,3,3,150,45
2,395,2,27,4,2,211,105
2,176,4,81,4,1,128,38
1,2779,4,44,3,5,851,593
4,377,1,41,3,2,376,21
3,54,1,165,3,5,153,33
4,2,2,125,3,4,114,11
3,74,4,42,3,5,81,31
4,2574,4,11,3,4,2330,229
3,2418,4,49,3,5,1725,668
4,86,4,117,4,2,182,10
3,145,5,38,3,1,128,16
3,977,1,141,3,2,782,168
2,687,3,16,3,1,351,106
3,1012,4,418,3,3,1002,299
3,1262,5,63,3,5,926,279
3,144,2,31,3,5,122,37
1,36,3,125,5,1,48,34
2,992,3,142,3,4,565,511
2,1739,4,55,3,5,897,806
4,660,4,341,4,5,899,91
1,1917,4,74,4,4,600,1252
2,2985,3,59,4,4,1523,1369
4,24,3,150,3,2,156,9
3,2922,2,211,3,2,2193,469
3,2874,5,173,3,4,2134,821
2,1596,4,99,3,3,849,593
3,848,4,18,4,4,604,235
3,878,4,88,3,4,676,261
3,1264,2,164,3,3,998,300
2,1540,3,52,3,5,794,557
4,953,3,96,4,2,943,53
4,2835,2,22,2,4,2575,253
4,827,5,110,2,2,843,47
2,1558,5,2,3,2,779,390
2,875,3,66,3,3,470,329
4,272,3,151,3,3,379,30
4,115,4,237,2,5,316,25
3,756,4,101,3,3,599,180
4,1070,4,20,1,4,979,99
3,1965,2,93,3,1,1438,186
4,154,2,16,3,4,152,16
4,1878,4,13,2,4,1700,171
4,447,5,7,3,3,408,32
4,444,4,8,3,5,406,32
4,855,4,18,4,4,785,79
2,937,4,136,3,1,538,160
4,869,3,97,3,2,870,48
4,2901,5,222,3,5,2814,154
3,47,3,255,2,1,211,27
4,1807,5,156,3,5,1767,58
2,769,4,137,3,2,453,226
3,2430,3,55,3,4,1740,670
2,2791,3,13,3,4,1405,1258
5,2871,3,294,2,3,1585,1105
3,16,3,285,4,1,210,27
4,1699,3,7,3,1,1532,51
3,384,4,69,2,3,317,95
3,2982,5,50,2,2,2122,454
4,1802,3,64,3,1,1682,55
4,145,2,322,2,1,420,14
3,2521,2,49,3,4,1801,690
5,287,3,7,3,2,205,44
2,2400,5,153,2,4,1275,1151
4,38,4,85,3,3,110,9
2,2979,4,211,3,4,1590,1435
2,1001,1,77,4,4,538,484
5,211,1,170,3,3,190,133
2,1974,3,18,3,5,997,698
3,443,4,77,3,4,363,141
3,176,2,200,3,3,263,79
2,2736,2,1,4,1,1368,412
1,520,2,102,4,4,185,393
4,131,2,0,4,3,117,9
2,915,2,19,3,2,466,233
2,2850,3,150,3,5,1497,753
3,440,3,202,3,5,448,96
2,755,1,6,3,1,380,114
4,1586,2,68,4,2,1489,82
5,2359,2,136,2,4,2242,227
2,2085,1,25,3,2,1051,529
4,2919,5,183,4,4,2790,280
4,107,5,149,3,2,230,13
3,2795,2,0,2,2,1957,418
2,1065,3,214,2,1,637,192
3,29,3,56,3,4,59,23
2,1416,5,2,3,1,710,211
3,2104,4,75,3,2,1528,325
4,270,2,214,3,1,435,14
2,256,3,17,4,4,136,123
2,635,3,97,4,2,365,182
4,340,4,33,4,2,336,18
4,108,3,60,3,3,151,11
2,1949,4,162,2,3,1053,739
5,1688,3,71,4,5,878,616
3,141,1,28,3,4,118,45
1,325,4,211,3,5,162,336
4,538,1,305,3,1,760,24
5,835,2,120,3,2,861,46
4,637,4,111,2,2,672,37
2,2895,3,40,5,3,1468,1025
4,354,3,119,4,4,425,43
4,65,4,26,3,1,81,2
4,985,4,176,3,5,1045,34
4,1675,3,15,2,1,1519,51
3,2,2,175,3,4,124,47
2,924,2,53,2,4,489,438
3,886,2,42,3,2,649,139
4,87,3,30,4,5,105,5
4,831,3,7,3,2,755,41
3,163,3,32,4,4,136,53
1,1566,5,28,2,2,478,557
3,101,4,65,3,4,116,44
4,69,2,299,2,5,330,34
3,2052,2,2,3,5,1438,554
4,392,5,93,4,5,437,43
2,643,2,32,3,1,337,101
3,95,3,162,3,3,179,54
3,454,5,43,3,5,347,104
4,2309,2,189,3,2,2247,125
2,647,4,312,3,2,480,239
4,2843,3,116,2,1,2671,86
2,445,4,131,3,3,288,201
3,370,2,76,4,2,311,67
4,1249,4,214,2,3,1319,101
3,10,3,164,2,4,122,46
2,197,2,214,3,2,205,103
3,568,3,323,4,1,622,80
3,1115,2,35,4,1,804,103
4,2775,2,84,3,1,2569,87
3,739,2,34,3,1,540,69
4,818,3,407,3,2,1101,62
2,75,2,30,2,5,52,26
1,2972,2,446,3,3,1024,1674
3,1044,4,204,2,5,875,261
4,107,3,108,3,1,193,6
4,39,2,87,3,3,113,9
2,98,3,462,2,1,280,83
4,10,2,107,3,5,105,3
3,430,3,20,3,5,314,40
4,23,3,157,4,2,161,9
3,1122,2,19,4,2,799,170
4,1450,4,98,3,5,1394,76
3,2763,5,9,2,3,1942,581
3,409,1,11,3,5,293,88
4,2159,2,99,3,2,2031,113
4,1416,4,296,3,2,1540,86
2,1097,5,181,3,2,639,319
3,169,1,165,3,5,233,50
3,413,2,63,3,1,332,43
5,363,4,78,3,2,308,66
3,2913,4,32,3,3,2062,618
2,2364,1,91,4,3,1223,863
4,1988,3,24,3,3,1812,140
4,1001,3,65,3,3,959,74
2,2779,5,141,4,2,1462,728
4,15,3,40,2,2,49,2
4,2459,2,459,4,5,2632,143
4,3,4,34,3,5,33,2
2,2869,5,55,3,5,1454,735
5,2033,2,95,4,1,1062,319
3,1,1,6,3,1,4,0
3,790,2,131,5,2,644,138
2,757,2,309,4,2,534,265
3,2983,4,244,3,2,2256,485
4,12,4,231,3,4,218,22
3,792,2,102,3,2,627,133
3,1358,4,64,3,3,994,299
4,891,5,240,3,4,1019,100
3,2885,4,76,3,1,2068,266
3,2446,1,7,3,4,1714,665
2,198,2,29,3,1,113,34
5,481,3,54,2,5,267,80
5,979,5,40,3,4,508,460
3,22,3,119,3,4,98,38
4,844,2,87,3,4,837,84
4,177,1,384,4,2,505,28
3,1153,2,33,2,5,830,178
3,1868,2,2,3,2,1307,282
2,1471,2,17,2,5,742,372
3,272,2,61,3,5,232,50
2,2249,3,202,3,5,1226,611
5,1633,4,103,3,3,872,605
2,1104,2,357,3,2,729,367
3,360,2,103,3,5,324,69
3,738,2,291,3,3,720,216
2,2823,4,16,3,5,1420,992
3,366,3,450,3,2,571,122
3,1155,2,57,3,2,849,181
3,1049,2,11,3,5,740,160
2,879,4,9,3,5,444,221
3,459,4,172,3,2,441,94
2,148,2,13,4,5,80,40
2,683,3,34,2,1,359,107
4,114,4,99,2,4,191,19
4,730,1,20,3,5,675,67
4,1037,3,411,3,3,1304,100
4,1164,2,36,2,5,1079,84
4,221,4,4,2,2,202,11
2,1423,4,49,3,2,735,369
4,411,2,17,2,2,384,21
5,66,4,455,4,1,469,15
3,2783,3,176,2,1,2075,265
2,119,2,132,4,4,125,113
5,2948,4,45,3,3,1499,1044
4,2052,1,43,2,2,1885,105
3,250,2,317,3,5,396,85
3,46,5,18,4,5,44,10
4,2135,5,57,4,1,1979,63
2,1492,2,385,3,2,938,469
1,1608,4,20,4,1,490,342
3,316,4,148,3,1,324,42
4,21,3,121,3,1,127,4
4,7,4,195,3,4,181,18
4,2728,3,601,3,1,3002,98
3,43,2,25,2,4,47,18
4,510,4,97,2,1,546,18
4,450,4,184,3,3,570,44
3,237,5,6,3,3,170,51
3,180,5,106,3,4,199,78
4,257,2,20,2,5,249,25
4,2921,2,38,3,2,2667,145
4,218,2,60,2,1,249,8
3,138,4,67,3,4,143,55
3,78,3,6,4,3,58,18
2,1043,4,124,3,2,585,291
4,1996,2,62,3,3,1848,146
3,2313,2,8,3,1,1625,208
4,1447,3,177,3,1,1460,49
3,545,4,38,2,4,408,157
3,47,4,34,3,5,56,22
4,135,5,24,2,1,143,4
2,842,3,105,3,1,472,142
3,142,4,37,4,3,125,37
2,866,3,152,4,2,508,255
3,303,5,41,3,2,240,51
2,2500,4,151,4,3,1321,929
2,1893,4,192,4,2,1040,521
2,980,3,88,4,2,534,267
3,111,4,269,4,2,265,57
3,1610,4,46,4,2,1161,248
3,2124,4,139,3,3,1583,476
3,156,4,29,4,4,129,50
4,875,4,163,3,2,934,51
1,2387,3,51,3,1,733,510
4,1948,2,20,4,5,1774,58
4,871,2,157,2,1,925,30
4,145,3,41,4,4,167,17
4,295,4,4,3,2,268,15
3,1370,4,40,3,1,988,126
4,83,5,94,2,1,159,5
2,1039,5,301,4,2,668,336
2,1075,1,112,3,2,592,297
3,413,5,34,3,3,314,93
4,1094,3,22,3,3,1003,79
3,697,4,151,2,5,594,177
4,968,5,135,3,1,993,32
2,214,3,299,3,2,256,128
4,539,2,12,3,3,495,39
2,2771,5,0,4,5,1382,973
5,76,4,109,3,2,92,46
5,41,4,92,3,2,66,33
3,2315,3,95,3,1,1683,218
2,1418,3,204,3,3,810,567
3,1693,3,513,2,1,1542,199
5,1307,1,35,4,3,941,281
4,739,2,38,3,4,700,69
4,1118,4,176,3,4,1163,117
2,2255,2,3,3,4,1130,1013
4,381,2,262,3,4,579,57
2,2477,4,35,3,4,1253,1131
4,102,1,157,4,3,232,18
3,121,2,329,3,1,315,40
4,1045,3,25,4,1,963,32
3,1369,3,36,3,2,982,211
3,2193,4,7,4,2,1539,329
3,1046,1,26,3,1,751,96
4,2995,3,27,3,2,2720,150
4,17,5,619,2,3,572,44
3,2939,4,56,2,2,2092,450
3,2754,2,76,3,2,1977,427
2,2951,2,309,3,2,1628,817
3,1825,3,204,2,4,1417,551
4,354,3,3,4,3,322,24
3,861,4,16,2,3,612,185
4,2980,2,129,3,3,2796,218
3,2354,4,379,3,1,1914,246
2,2215,4,347,4,5,1281,382
4,1102,2,25,4,1,1013,34
2,2890,4,58,3,2,1472,739
2,2430,1,20,3,5,1229,610
3,865,3,271,3,2,795,170
4,2856,3,474,2,2,2996,166
2,309,3,3,3,3,156,109
3,847,1,60,3,2,634,136
1,1205,5,51,3,1,378,262
2,114,5,13,3,1,63,19
3,159,2,2,3,2,112,24
3,474,4,37,2,4,357,138
3,2802,3,78,2,1,2018,257
3,217,2,4,3,5,154,20
4,559,4,28,3,4,529,52
4,547,2,167,3,3,643,49
2,162,1,114,3,5,137,97
2,363,2,12,3,5,187,131
3,215,1,85,2,2,209,45
1,235,4,74,3,1,92,65
2,1690,3,532,3,5,1110,333
3,2452,2,303,3,2,1931,412
2,1232,2,98,3,4,664,600
2,2679,4,206,3,5,1443,1294
2,196,3,17,2,4,106,96
4,227,3,21,3,1,223,7
4,2343,4,373,2,4,2445,243
2,2981,1,70,2,3,1530,1065
3,868,4,27,2,1,625,81
3,312,3,31,4,3,240,72
2,2473,3,1,4,2,1236,619
2,2344,3,162,2,4,1255,1125
4,97,3,93,3,1,170,5
3,2353,1,70,2,2,1697,362
3,276,2,106,3,4,267,103
4,1003,4,27,2,5,927,92
4,2760,4,39,3,1,2516,84
